source_path,label,url,note
course_links/0,UCSD DataHub,https://datahub.ucsd.edu/,Recommended Jupyter Notebook programming environment
course_links/1,Canvas,https://canvas.ucsd.edu/courses/76569,"Announcements, solutions, recordings, and private course material"
course_links/2,Gradescope,https://www.gradescope.com/courses/1328914,Homework submission
course_links/3,Piazza,https://piazza.com/class/mqk3zewxiah1hd,Q&A
weeks/0/classes/0/slides/0,slides,https://drive.google.com/file/d/1Sy3uJRgqTbGeFvPL3w5Hs7JjwG1byBGp/view?usp=sharing,
weeks/0/classes/0/items/1,"Features, Structures, and Representation of Sound and Music Data (MIDI, audio)",https://youtu.be/do8p-nkA7UM,
weeks/0/classes/0/items/2,LMMS and Audio Tools,https://www.youtube.com/watch?v=n8z94IbYoic,
weeks/0/classes/0/items/3,"Audio features: pitch, timbre, loudness, MFCC, Chroma, Pitch",https://youtu.be/YY99OlXHB5g,
weeks/0/classes/1/slides/0,slides,https://drive.google.com/file/d/1QpnXxvC-opsmh1i44NQIz3bc2d98qEu4/view?usp=sharing,
weeks/0/classes/1/items/0,"Aleatoric music, stochastic processes in music (Mozart Dice Game, Xenakis)",https://youtu.be/TyKmghiQ2QA,
weeks/0/classes/1/items/1,Generative Music,https://youtu.be/yE3Z4b7zx7s,
weeks/0/classes/1/items/2,"Noise, Periodicity, Spectral Flatness, Perception and Cognition in Music Information Dynamics",https://youtu.be/I2FW3sjB-UY,
weeks/0/classes/2/slides/0,slides,https://drive.google.com/file/d/1UW_DkrUYpAfNYLg9wmQfeFV_V3aaCEfA/view?usp=sharing,
weeks/0/classes/2/items/0,"Spectral Analysis, Fourier transform",https://youtu.be/FDZanwtZ4as,
weeks/0/classes/2/items/1,Linear Filters and Convolution Theorem,https://youtu.be/bQsamazN9UY,
weeks/0/classes/3/slides/0,slides,https://drive.google.com/file/d/1xCIBwEOzqRQwhrJWMpsOK_cGvOf5ctMK/view?usp=sharing,
weeks/0/classes/3/items/0,"Short Time Fourier Analysis, Perfect Reconstruction (COLA), and Griffin-Lim phase reconstruction",https://youtu.be/I2M8HfTXdV8,
weeks/1/classes/0/slides/0,slides,https://drive.google.com/file/d/1Be-K2PuHyYn-DuoEY1zAWX70mQpwZd07/view?usp=sharing,
weeks/1/classes/0/items/0,"Information Theory and Music, Shannon’s Theorems for Compression and Rate-Distortion",https://youtu.be/mAlzCpTX9Vw,
weeks/1/classes/0/items/1,"Markov Models for Text and Music, Lempel-Ziv Algorithm and Musical Style",https://youtu.be/9pCeH-xw6H0,
weeks/1/classes/0/items/2,Machine Improvisation,https://youtu.be/1o5zooFptFs,
weeks/1/classes/1/slides/0,slides,https://drive.google.com/file/d/1498etwKdlcI0YA84Z6xEeawNLcPhpR8m/view?usp=sharing,
weeks/1/classes/1/items/0,"History of the voder / vocoder, Text to Speech",https://youtu.be/-zrXl2YL9TA,
weeks/1/classes/1/items/1,"Linear Prediction, Formants and Spectral Density",https://youtu.be/NtTYdYffalY,
weeks/1/classes/1/items/2,Source Filter Model,https://www.youtube.com/watch?v=RnmWXmf-tYY,
weeks/1/classes/1/items/3,OMax Software Demo,https://www.youtube.com/watch?v=pT-dUNrnxLM,
weeks/1/classes/2/slides/0,slides,https://drive.google.com/file/d/1rtYxC9BshjtBpRRYX3r7aBbVt7pOkcZi/view?usp=sharing,
weeks/1/classes/2/items/0,HMM (Hidden Markov Model) in Speech and Music,https://youtu.be/v4k_oWBZGeI,
weeks/1/classes/2/items/1,"Variable Markov Oracle (VMO), Music Information Dynamics",https://youtu.be/T37xMmap3g8,
weeks/1/classes/3/slides/0,slides,https://drive.google.com/file/d/1o0zPQZyOgwu6zlxH03x07gORUQyjJdOb/view?usp=sharing,
weeks/1/classes/3/items/0,Introduction to Neural Networks & Keras,https://youtu.be/gcT7ASY7yXQ,
weeks/2/classes/0/items/0,Lecture on CNN & U-Net,https://youtu.be/IfK9JG-TcXY,
weeks/2/classes/1/slides/0,slides,https://drive.google.com/file/d/1tJ1jtG_L2EQNW59HBb5QHmneeBwkqANA/view?usp=sharing,
weeks/2/classes/1/items/0,Neural Network Models of Music,https://youtu.be/R8Yg3adZeNU,
weeks/2/classes/1/items/1,Autoencoder (AE) and Feature Learning,https://youtu.be/x1wfqhJonDA,
weeks/2/classes/2/slides/0,slides,https://drive.google.com/file/d/1wjW9gzw8OYDKqnl1LfdSwXN3H0hG9q0F/view?usp=sharing,
weeks/2/classes/2/items/0,"Variational AE, ELBO",https://youtu.be/6VIBOP7U4Qw,
weeks/2/classes/3/slides/0,slides,https://drive.google.com/file/d/1nuF71J9zLvoJMpwvmHumDSjjKy4vxJ5-/view?usp=sharing,
weeks/2/classes/3/items/0,Recurrent Neural Network for Music,https://youtu.be/ZYBjvBONmF0,
weeks/2/classes/3/items/1,Generative Adversarial Networks,https://youtu.be/ntRkUrnxM2Q,
weeks/2/classes/4/slides/0,slides,https://drive.google.com/file/d/1QIZZ1gMGi2komIaXzgzsmBigxTx6Vl8c/view?usp=sharing,
weeks/2/classes/4/items/0,Transformers,https://www.youtube.com/watch?v=-Zkwgs1SuRY,
weeks/2/classes/4/items/1,VAE Demo,https://youtu.be/ya44IoIGFKI,
weeks/2/classes/4/items/2,Transformers & Word2Vec,https://www.youtube.com/watch?v=Co83y2nlqUo,
weeks/3/classes/0/slides/0,slides,https://drive.google.com/file/d/1Oyc3zpmPfsXq-ydXM26Z_e9RLFFUFYuB/view?usp=drive_link,
weeks/3/classes/0/slides/1,extra slides 1,https://drive.google.com/file/d/17by1su04chpwAYY3JMqeNrnKx9J_s873/view?usp=drive_link,
weeks/3/classes/0/slides/2,extra slides 2,https://drive.google.com/file/d/1bkQEmrPGemjdCDleajnI_7oeds5bOpHm/view?usp=drive_link,
weeks/3/classes/0/items/0,Score Function and SDE,https://youtu.be/p8g1D20NMZM,
weeks/3/classes/0/items/1,Generative Models and DDPM,https://youtu.be/GoAXcOqGG6k,
weeks/3/classes/0/items/2,"PF-ODE, DDIM and Consistency",https://youtu.be/mJ_4DraoRYY,
weeks/3/classes/0/items/3,DSM Colab Simulation,https://youtu.be/SLdw6f6Dhdw,
weeks/3/classes/0/items/4,Diffusion Guidance,https://youtu.be/n7v0HY5l1qs,
weeks/3/classes/0/items/5,CLAP and Music Examples,https://youtu.be/0ERW7GHqGbk,
weeks/3/classes/3/slides/0,slides,https://drive.google.com/file/d/1srV4PrDmYXUH79ahyJAbTM6BpbpmdESg/view?usp=sharing,
weeks/3/classes/3/items/0,Course Materials Review,https://www.youtube.com/watch?v=mJDibKm-L1g,
weeks/3/classes/4/slides/0,slides,https://drive.google.com/file/d/18LaUo91ItgO8o9-iFeLk6hHWiByBgyip/view?usp=sharing,
weeks/3/classes/4/items/0,"VMO Threshold, Deep Music Information Dynamics",https://www.youtube.com/watch?v=k1RuRD6Ub1U,
weeks/3/classes/4/items/1,Creative Applications,https://www.youtube.com/watch?v=TSz5b19T-UM,
assignments/required/0,Introduction to Music Representation,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/Introduction%20to%20Music%20Representation.ipynb,
assignments/required/1,Probability & Discrete Fourier Transform,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/Probability%20and%20Discrete%20Fourier%20Transform.ipynb,
assignments/required/2,"Spectrograms, Short-Time Fourier Transform, and Griffin-Lim",https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/Spectrograms%2C%20STFT%20and%20Griffin-Lim%20Phase%20Reconstruction.ipynb,
assignments/required/3,Markov & Lempel Ziv,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/Markov%20Chain%20and%20LZify.ipynb,
assignments/required/4,Autoencoder De-noising,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/PCA%20with%20Linear%20Autoencoder.ipynb,
assignments/required/5,RNN MIDI Generation,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/RNN%20MIDI%20Generation.ipynb,
assignments/optional/0,Speech Formants & LPC,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/Speech%20Formants%20with%20Linear%20Predictive%20Coding%20and%20Vocoder.ipynb,
assignments/optional/1/options/0,PyTorch version,https://github.com/SmoothKen/ucsd-cse-153R-github-pages/blob/master/homework/jazz_transformer_pytorch_ver.ipynb,
